num,longitude,latitude,ref
1001A,116.3621,39.8784,N
1002A,116.2202,40.2915,Y
1003A,116.4174,39.9289,N
1004A,116.4072,39.8863,N
1005A,116.462,39.9365,N
1006A,116.3392,39.9295,N
1007A,116.2878,39.9611,N
1008A,116.6636,40.135,N
1009A,116.6275,40.3275,N
1010A,116.2296,40.217,N
1011A,116.3966,39.9821,N
1012A,116.184,39.9136,N
1013A,117.151,39.097,Y
1014A,117.193,39.173,Y
1015A,117.1444,39.1661,N
1016A,117.184,39.1205,Y
1017A,117.237,39.1082,N
1018A,117.202,39.0927,N
1019A,117.1837,39.2133,N
1020A,117.269,39.1337,Y
1021A,117.307,39.0877,N
1022A,117.221,39.06,Y
1023A,117.707,39.0343,N
1024A,117.457,38.8394,N
1025A,117.401,39.124,Y
1026A,117.764,39.1587,N
1027A,117.157,38.9194,Y
1028A,114.5637,38.0549,Y
1029A,114.4422,38.0444,N
1030A,114.6063,38.0266,N
1031A,114.4898,38.1328,N
1032A,114.4586,38.0058,N
1033A,114.5331,38.0178,N
1034A,114.509,38.0457,N
1035A,114.3524,37.8911,Y
1036A,118.1662,39.6308,Y
1037A,118.131,39.6363,N
1038A,118.1725,39.6334,N
1039A,118.2185,39.6679,Y
1040A,118.1705,39.6506,N
1041A,118.1869,39.622,N
1042A,119.5134,39.8207,N
1043A,119.7493,40.0116,N
1044A,119.5897,39.9499,N
1046A,119.5251,39.9041,N
1047A,114.5129,36.61763,N
1048A,114.5302,36.6116,N
1049A,114.4918,36.5713,N
1050A,114.484,36.6133,N
1051A,115.493,38.8632,N
1052A,115.5213,38.8959,N
1053A,115.4713,38.9108,N
1054A,115.4612,38.8416,N
1055A,115.4323,38.8697,N
1056A,115.5086,38.8639,N
1057A,114.8883,40.8336,N
1058A,114.892,40.79481,Y
1059A,114.8687,40.8042,N
1060A,114.8902,40.762,N
1061A,114.8916,40.8661,Y
1062A,117.9531,40.9081,N
1063A,117.9392,40.9763,N
1064A,117.9503,40.928,N
1065A,117.8051,40.9655,N
1066A,117.9268,41.0026,Y
1067A,116.6708,39.5111,N
1068A,116.7214,39.5589,N
1069A,116.715,39.5571,Y
1070A,116.7244,39.5269,N
1071A,116.8842,38.2991,N
1072A,116.8584,38.3254,N
1073A,116.8709,38.3228,N
1074A,115.6838,37.7541,N
1075A,115.6303,37.7316,N
1076A,115.6906,37.739,Y
1077A,114.4704,37.0886,N
1078A,114.5062,37.0349,N
1079A,114.5237,37.0851,N
1080A,114.4725,37.0719,N
1081A,112.5139,37.8873,N
1082A,112.573,37.9103,Y
1083A,112.434,38.0108,Y
1084A,112.469,37.7124,N
1085A,112.5583,37.7394,N
1086A,112.5369,37.8692,N
1087A,112.57,37.8195,N
1088A,112.549,37.9854,N
1089A,112.4701,37.782,N
1090A,111.6507,40.7517,N
1091A,111.6572,40.8033,N
1092A,111.659,40.8452,Y
1093A,111.608,40.8144,Y
1094A,111.7516,40.8369,N
1095A,111.7276,40.8062,N
1096A,111.5512,40.7866,N
1097A,111.717,40.7612,N
1098A,123.6836,41.9339,Y
1099A,123.505,41.7406,N
1100A,123.4231,41.6989,N
1101A,123.284,41.7694,Y
1102A,123.5903,41.8411,N
1103A,123.4264,41.8467,N
1104A,123.4114,41.7653,N
1105A,123.4678,41.7867,N
1106A,123.4017,41.7972,N
1107A,123.3606,41.7806,Y
1108A,123.3783,41.9228,N
1109A,121.612,38.9741,N
1110A,121.565,38.9511,N
1111A,121.5637,38.8845,N
1112A,121.6302,38.9117,N
1113A,121.6251,38.8638,N
1114A,121.5213,38.8661,N
1115A,121.2529,38.8061,N
1116A,121.7485,39.1311,N
1117A,121.7811,39.0496,N
1118A,121.9762,39.0631,N
1119A,125.3325,43.9166,N
1120A,125.2863,43.9027,N
1121A,125.2841,43.8463,N
1122A,125.3716,43.8772,N
1123A,125.3297,43.8805,N
1124A,125.4605,43.79,N
1125A,125.7194,43.515,Y
1126A,125.3863,43.8447,N
1127A,125.245,43.7783,N
1128A,125.1761,43.8325,N
1129A,126.5422,45.755,Y
1130A,126.561,45.8167,N
1131A,126.979,45.5419,N
1132A,126.599,45.7222,N
1133A,126.689,45.7733,N
1134A,126.635,45.7667,N
1135A,126.685,45.7319,N
1136A,126.6411,45.7258,N
1137A,126.593,45.7478,N
1138A,126.615,45.61,N
1139A,126.595,45.9855,N
1140A,126.6206,45.6842,N
1141A,121.4,31.238,N
1142A,121.478,31.2036,N
1143A,121.467,31.3008,N
1144A,121.412,31.1654,N
1145A,121.536,31.2659,N
1146A,120.978,31.0935,Y
1147A,121.425,31.2261,N
1148A,121.703,31.1907,N
1149A,121.533,31.2284,N
1150A,121.577,31.2071,N
1151A,118.8086,32.1065,N
1152A,118.7538,32.0551,N
1153A,118.7794,32.0745,N
1154A,118.7752,32.0023,N
1155A,118.8109,32.0309,N
1156A,118.7997,32.0754,N
1157A,118.6414,32.0931,N
1158A,118.7356,31.9996,N
1159A,118.9125,32.1028,N
1160A,120.561,31.2472,Y
1161A,120.628,31.2864,N
1162A,120.591,31.3019,N
1163A,120.596,31.3264,N
1164A,120.613,31.2703,N
1165A,120.543,31.2994,N
1166A,120.669,31.3097,N
1167A,120.641,31.3708,N
1168A,120.9098,31.9663,N
1169A,120.86,32.0005,N
1170A,120.87,32.02,N
1171A,120.94,31.93,N
1172A,120.81,32.0417,N
1173A,119.176,34.5885,N
1174A,119.141,34.5896,Y
1175A,119.368,34.7507,Y
1176A,119.348,34.6984,Y
1177A,117.179,34.2761,N
1178A,117.1918,34.2384,N
1179A,117.192,34.3083,Y
1180A,117.256,34.2153,N
1181A,117.244,34.2911,N
1182A,117.2933,34.2778,N
1183A,117.166,34.1806,Y
